ID,Name,System,Type,Lat,Long,Altitude,Weight,Shift
023401,Beaurivage,BDH,Hydro,46.65691667,-71.28877778,91.4,,
023402,Saint-Lambert,BDH,Hydro,46.58694444,-71.21361111,114.3,,7
023409,Mégantic,GBP,Dam,45.5731,-70.8804,395,,
023422,Famine,BDH,Hydro,46.16689722,-70.63919167,207.3,,
023427,Megantic,BDH,Hydro,45.57305556,-70.88044444,396.2,,
023428,Du Loup,BDH,Hydro,46.060256,-70.532446,225.6,,
023429,Sartigan,BDH,Hydro,46.09638889,-70.65444444,161,,
023432,Bras d'Henri,BDH,Hydro,46.54019462,-71.3401224,117.3,,
023448,Saint-Martin,BDH,Hydro,45.94835833,-70.65721111,-999,,
023449,Des Fermes,BDH,Hydro,46.296956,-70.94608,249,,
023450,Beaurivage,BDH,Hydro,46.411472,-71.244272,179,,
023451,Bras Saint-Victor,BDH,Hydro,45.998221,-70.91796,249,,
233010,Saint-Léon,CLIMATO?,Meteo,46.5164,-70.6486,338,,
234011,Lac-Mégantic-2,CLIMATO?,Meteo,45.4577,-70.844,437,,
234015,Saint-Samuel,CLIMATO?,Meteo,45.6966,-70.9362,532,,
234020,Saint-Ludger,CLIMATO?,Meteo,45.7548,-70.7152,372,,
234025,Saint-Hilaire-Dorset,CLIMATO?,Meteo,45.9051,-70.8555,440,,
234030,Saint-Théophile,CLIMATO?,Meteo,45.926,-70.5155,446,,
234032,Petit-Lac,CLIMATO?,Meteo,46.0803,-71.1438,522,,
234035,Lac-Poulin,CLIMATO?,Meteo,46.0761,-70.7972,324,,
234036,Lac-Abenakis,CLIMATO?,Meteo,46.1443,-70.3751,470,,
234040,Vallée-Jonction,CLIMATO?,Meteo,46.361,-70.9556,280,,
234060,Saint-Étienne,CLIMATO?,Meteo,46.663,-71.272,119,,
234070,Sainte-Rose,CLIMATO?,Meteo,46.3355,-70.4086,402,,
236510,Lyster,CLIMATO?,Meteo,46.4134,-71.6559,123,,
240020,Black-Lake,CLIMATO?,Meteo,46.0929,-71.3969,363,,
302050,Lambton,CLIMATO?,Meteo,45.8119,-71.0962,349,,
302060,Milan,CLIMATO?,Meteo,45.5904,-71.0971,496,,
7020567,Beauséjour,CLIMATO,Meteo,46.66463,-71.1661,110,,
